domain,tos_url,tos_scraping,tos_condition_type,tos_excerpt,robots_scraping,final_verdict,website_category
sfcollege.edu,https://sfcwireless.sfcollege.edu/guest/public/policy.html,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
dogdrip.net,,permissible,,No ToS content available,permissible,permissible,Social & Forums
getmysocial.com,https://getmysocial.com/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
pestpac.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
umn.edu,https://twin-cities.umn.edu/privacy,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
geometrylitepc.io,https://www.geometrylitepc.io/terms,permissible,,No ToS content available,permissible,permissible,Entertainment
ezgif.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
tuasaude.com,https://tuasaude.com/en/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Health & Lifestyle
rent.com,https://www.rent.com/legal/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Finance & Business
medicare.gov,https://www.medicare.gov/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
nih.gov,https://www.nih.gov/institutes-nih/nih-office-director/office-legislative-policy-analysis-olpa/congressional-hearings,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
progresslearning.com,https://progresslearning.com/product-privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
focusschoolsoftware.com,https://focusschoolsoftware.com/privacypolicy/,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
coxautoinc.com,https://www.coxautoinc.com/solutions/service-fleets/terms/,permissible,,No scraping-related provisions found.,permissible,permissible,Finance & Business
pima.edu,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
appstate.edu,https://generalcounsel.appstate.edu/legal-topics/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
gta5-mods.com,https://gta5-mods.com/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
hfboards.com,https://forums.hfboards.com/help/terms/,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
democraticunderground.com,https://democraticunderground.com/?com=termsofservice,permissible,,No scraping-related provisions found.,permissible,permissible,Social & Forums
grabagun.com,,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
ucdavis.edu,https://www.ucdavis.edu/privacy-and-accessibility,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
gofo.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
friv.com,https://www.friv.com/privacy.html,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
elnuevodia.com,,permissible,,No ToS content available,permissible,permissible,News & Media
istreameast.app,https://istreameast.app/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
fitmentindustries.com,https://www.fitmentindustries.com/terms-conditions.php,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
illuminateed.com,https://www.illuminateed.com/resources/security-privacy/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
tabroom.com,https://staging.tabroom.com/index/tourn/index.mhtml?webpage_id=34634&tourn_id=37218,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
sfasu.edu,https://campusrec.sfasu.edu/Home/Terms,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
ny.gov,https://www.ny.gov/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
downloads.khinsider.com,https://downloads.khinsider.com/forums/index.php?help/terms/,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
kyschools.us,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
bbs.wenxuecity.com,https://www.wenxuecity.com/aboutus/tou.shtml,permissible,,No scraping-related provisions found.,permissible,permissible,Social & Forums
illinois.gov,https://www.illinois.gov/about/privacy.html,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
apkpure.com,https://apkpure.com/terms-service.html,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
maryland.gov,https://www.mta.maryland.gov/terms-conditions,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
cigarbid.com,https://www.cigarbid.com/help/terms-and-conditions/2069134/,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
aiscore.com,https://www.aiscore.com/policy,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
inboxdollars.com,https://www.inboxdollars.com/terms-of-use,permissible,,No ToS content available,permissible,permissible,Entertainment
state.md.us,https://www.courts.state.md.us/reference/termsdisclaimer,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
targetsolutions.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
janitorai.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
scratch.mit.edu,https://scratch.mit.edu/help/terms,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
gunbroker.com,,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
ukr.net,https://ukr.net/terms,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
directpay.irs.gov,https://directpay.irs.gov/directpay/privacyPolicy,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
drcedirect.com,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
airtalkwireless.com,https://airtalkwireless.com/terms-conditions,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
gcsbackpack.com,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
texas.gov,https://www.texas.gov/about/site-policies/#legal-notices,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
sportsmans.com,https://www.sportsmans.com/terms-of-use,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
fda.gov,https://open.fda.gov/terms/,permissible,,"Unless otherwise noted, the contents of the FDA website (www.fda.gov) — both text and graphics — are not copyrighted. They are in the public domain and may be republished, reprinted and otherwise used freely by anyone without the need to obtain permission from FDA. Credit to the U.S. Food and Drug Administration as the source is appreciated but not required.",permissible,permissible,Government & Nonprofit
tribuna.com,https://tribuna.com/en/terms/,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
justice.gov,https://www.justice.gov/legalpolicies,permissible,,"Unless otherwise indicated, information on Department of Justice websites is in the public domain and may be copied and distributed without permission. Citation of the Department of Justice as source of the information is appreciated, as appropriate.",permissible,permissible,Government & Nonprofit
illinois.edu,https://www.vpaa.uillinois.edu/resources/terms_of_use,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
minnstate.edu,https://mycpl.minnstate.edu/Home/Terms,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
freecash.com,https://freecash.com/terms,permissible,,No ToS content available,permissible,permissible,Entertainment
clients.mindbodyonline.com,https://www.mindbodyonline.com/company/legal/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Health & Lifestyle
socialsolutions.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
health-partners.org,https://chpepiceweb.health-partners.org/MyChart/Authentication/Login?mode=stdfile&option=termsandconditions,permissible,,No scraping-related provisions found.,permissible,permissible,Health & Lifestyle
flashrewards.co,,permissible,,No ToS content available,permissible,permissible,Entertainment
schneidercorp.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
apollohospitals.com,https://apollohospitals.com/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Health & Lifestyle
pointclickcare.com,https://pointclickcare.com/legal/terms-conditions/,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
cloudfront.net,https://d10nkoc3mu17gd.cloudfront.net/privacy/Terms_of_Use_Agreement_and_Privacy_Policy_VidCompact.html,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
unl.edu,https://parking.unl.edu/rules-regulations/term-definitions/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
geometry-games.io,https://geometry-games.io/terms,permissible,,No ToS content available,permissible,permissible,Entertainment
budsgunshop.com,https://www.budsgunshop.com,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
shoshitamam.com,,permissible,,No ToS content available,permissible,permissible,Entertainment
carscoops.com,https://www.carscoops.com/carscoop-privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
typingagent.com,https://typingagent.com/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
buyee.jp,https://buyee.jp/help/common/terms,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
darkero.com,https://darkero.com/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
noaa.gov,https://www.noaa.gov/protecting-your-privacy,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
booksamillion.com,https://www.booksamillion.com/help/terms.html,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
ohio.gov,https://ohio.gov/help-center/privacy-notice-and-policies,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
carid.com,https://www.carid.com/terms-and-conditions.html,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
aapc.com,https://www.aapc.com/medical-coding-education/conferences/callforspeakers/speakerpolicies.aspx,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
fleetfarm.com,,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
mnemonicdictionary.com,https://mnemonicdictionary.com/privacy.html,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
arenascan.com,https://arenascan.com/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
bearcreekarsenal.com,https://www.bearcreekarsenal.com/terms-conditions/,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
marketplace.secondlife.com,https://www.thunes.com/tilia/,permissible,,No ToS content available,permissible,permissible,Entertainment
azpreps365.com,https://azpreps365.com/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
boredbutton.com,https://boredbutton.com/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
camel.com,https://www.camel.com/footer-links/privacy-policy-mobile.html,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
arizona.edu,https://privacy.arizona.edu/privacy-statement?_gl=1*lcg26p*_gcl_au*ODAzNDY4NDQ5LjE3NzE1MjM5MDk.*_ga*MTM2NzEzODI1My4xNzcxNTIzOTEw*_ga_7PV3540XS3*czE3NzE1MjM5MTAkbzEkZzEkdDE3NzE1MjM5MjUkajQ1JGwwJGg4NTcwNjA0ODk.,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
certus.com,https://www.certus.com/terms-and-conditions/,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
forexfactory.com,,permissible,,No ToS content available,permissible,permissible,Finance & Business
brantsteele.com,https://brantsteele.com/privacypolicy.php,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
geometrygames.io,https://geometrygames.io/terms,permissible,,No ToS content available,permissible,permissible,Entertainment
classlink.com,https://www.classlink.com/company/privacy,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
thejoint.com,https://www.thejoint.com/terms-of-services,permissible,,No ToS content available,permissible,permissible,Health & Lifestyle
8games.net,https://8games.net/privacy-policy.html,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
annualcreditreport.com,https://www.annualcreditreport.com/privacy.action,permissible,,No scraping-related provisions found.,permissible,permissible,Finance & Business
getadblock.com,https://getadblock.com/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
ceac.state.gov,https://ceac.state.gov/ceac/Common/Disclaimer.aspx,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
cycletrader.com,,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
deposits.jailatm.com,https://deposits.jailatm.com/webdeposits/Terms.aspx,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
langeek.co,https://langeek.co/en/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
ufl.edu,https://policy.ufl.edu/policy/online-internet-privacy-statement/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
dmv.ny.gov,https://dmv.ny.gov/mydmv/mydmv-account-terms-of-service,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
purdue.edu,https://www.purdue.edu/home/privacy-notice/?_gl=1*wj0mzv*_ga*MTk0NDc0ODE5LjE3NzEzNDgxNDQ.*_ga_R2DXS2TQZ8*czE3NzE1MTQ1NDkkbzEkZzAkdDE3NzE1MTQ1NTAkajU5JGwwJGgw,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
budget.com,https://budget.com/termsofuse,permissible,,No scraping-related provisions found.,permissible,permissible,Health & Lifestyle
miraheze.org,https://miraheze.org/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
azgames.io,https://azgames.io/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
lausd.org,https://reedms.lausd.org/apps/pages/index.jsp?uREC_ID=4368561&type=d&pREC_ID=2570270,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
suncoastcreditunion.com,,permissible,,No ToS content available,permissible,permissible,Finance & Business
m.economictimes.com,https://economictimes.indiatimes.com/wealth/legal/will/paid-rs-2-73-lakh-for-a-15-hour-flight-got-broken-seat-and-dirty-toilet-flyer-wins-rs-1-5-lakh-compensation/articleshow/128741573.cms,permissible,,No ToS content available,permissible,permissible,News & Media
novelbin.com,,permissible,,No ToS content available,permissible,permissible,Entertainment
elevenwarriors.com,https://www.elevenwarriors.com/help/commenting-policy,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
palmettostatearmory.com,https://palmettostatearmory.com/help-center/terms-conditions.html,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
allfreenovel.com,,permissible,,No ToS content available,permissible,permissible,Entertainment
athlonsports.com,https://shop.athlonsports.com/en-usd/pages/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
sdbor.edu,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
oregon.gov,https://oregon.gov/pages/terms-and-conditions.aspx,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
hse.ie,https://www.hse.ie/disclaimer/,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
bigiron.com,https://www.bigiron.com/TermsAndConditions,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
uchicago.edu,https://myphoto.uchicago.edu/terms.aspx,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
greatergood.com,https://greatergood.com/pages/terms-of-service,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
danword.com,,permissible,,No ToS content available,permissible,permissible,Entertainment
mlbtraderumors.com,,permissible,,No ToS content available,permissible,permissible,News & Media
iscorp.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
thetvapp.to,,permissible,,No ToS content available,permissible,permissible,Entertainment
citizenfreepress.com,https://citizenfreepress.com/,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
arxiv.org,https://info.arxiv.org/help/policies/submission_agreement.html,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
fastdl.app,https://fastdl.app/terms-and-conditions,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
dhs.gov,https://www.dhs.gov/terms-use,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
nimc.gov.ng,https://nimc.gov.ng/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
denniskirk.com,,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
exileshmagazine.com,,permissible,,No ToS content available,permissible,permissible,News & Media
bradfordexchange.com,https://www.bradfordexchange.com,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
georgiaaccess.gov,https://georgiaaccess.gov/wp-content/uploads/2024/09/AgentConnect-Terms-of-Use.docx,permissible,,No ToS content available,permissible,permissible,Government & Nonprofit
cagematch.net,,permissible,,No ToS content available,permissible,permissible,News & Media
state.mn.us,https://mn.gov/portal/about-minnesota/about-mn-gov.jsp,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
theaet.com,https://www.theaet.com/page.aspx?ID=343,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
cloudconvert.com,https://cloudconvert.com/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
crosswordsolver.com,,permissible,,No ToS content available,permissible,permissible,Entertainment
pch.com,,permissible,,No ToS content available,permissible,permissible,Entertainment
9animetv.to,,permissible,,No ToS content available,permissible,permissible,Entertainment
planetariochile.cl,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
mu.edu,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
cliengage.org,https://www.uth.edu/legal/legaldis.htm,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
gamebanana.com,,permissible,,No ToS content available,permissible,permissible,Entertainment
timestables.com,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
maine.edu,https://usm.maine.edu/advising/how-to-resolve-a-financial-terms-and-conditions-hold/,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
readingplus.com,https://privacy.readingplus.com/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
gamersupps.gg,https://gamersupps.gg/tos,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
customwheeloffset.com,https://www.customwheeloffset.com/terms-conditions.php,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
download.it,https://www.iubenda.com/privacy-policy/61913038,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
bestwordlist.com,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
action.com,https://company.action.com/action-terms-conditions/,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
pgcps.org,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
kleinisd.net,https://www.kleinisd.net/o/kisd/page/klein-isd-purchasing-terms-conditions,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
abplive.com,https://www.abplive.com/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
dekudeals.com,https://www.dekudeals.com/privacy,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
municipalonlinepayments.com,https://cityofmadisonwi.municipalonlinepayments.com/cityofmadisonwi/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
ezlynx.com,,permissible,,No ToS content available,permissible,permissible,Tools & Tech
s3waas.gov.in,https://s3waas.gov.in/terms-and-conditions/,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
brantsteele.net,https://brantsteele.com/disclaimer.php,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
partsgeek.com,https://www.partsgeek.com/terms-and-conditions.html,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
freewebnovel.com,https://freewebnovel.com/termsofuse,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
etsu.edu,https://www.etsu.edu/students/idservices/information/termsconditions.php,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
pa.gov,https://www.pa.gov/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
mangadex.org,,permissible,,No ToS content available,permissible,permissible,Entertainment
farmandfleet.com,https://www.farmandfleet.com/legal-notice/,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
uoregon.edu,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
olx.ua,https://help.olx.ua/olxuahelp/s/article/%D0%BF%D0%BE%D0%BB%D1%96%D1%82%D0%B8%D0%BA%D0%B0-%D0%BA%D0%BE%D0%BD%D1%84%D1%96%D0%B4%D0%B5%D0%BD%D1%86%D1%96%D0%B9%D0%BD%D0%BE%D1%81%D1%82%D1%96-V27,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
elimparcial.com,,permissible,,No ToS content available,permissible,permissible,News & Media
travelandtourworld.com,https://www.travelandtourworld.com/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
streamlinevrs.com,https://www.streamlinevrs.com/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
cyclonefanatic.com,https://cyclonefanatic.com/forum/help/terms/,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
foodlion.com,https://foodlion.com/pages/terms-and-conditions,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
filmaffinity.com,https://www.filmaffinity.com/us/private.php,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
nasliberec.cz,,permissible,,No ToS content available,permissible,permissible,Entertainment
catofashions.com,https://credit.catofashions.com/credit/agreement.cfm,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
games.usatoday.com,https://games.usatoday.com/terms,permissible,,No ToS content available,permissible,permissible,Entertainment
blinn.edu,https://www.blinn.edu/privacy-notice/index.html,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
gate.cc,,permissible,,No ToS content available,permissible,permissible,Entertainment
carringtonmortgage.com,https://www.carringtonmortgage.com/legal/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Finance & Business
data.gouv.fr,https://www.data.gouv.fr/pages/legal/licences,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
ficbook.net,,permissible,,No ToS content available,permissible,permissible,Entertainment
ksl.com,https://www.ksl.com/article/95313/terms-of-use,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
abcmouse.com,https://shop.abcmouse.com/pages/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
fareharbor.com,https://fareharbor.com/legal/privacy/,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
geniuslearning.com,https://geniuslearning.com/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
culinaryschools.org,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
accela.com,https://www.accela.com/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
ccc.edu,https://www.ccc.edu/menu/privacystatement/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
classicfirearms.com,https://www.classicfirearms.com/terms-and-conditions/,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
estaff365.com,https://www.bullhorn.com/legal/,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
equip-bid.com,https://equip-bid.com/terms,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
somethingawful.com,https://forums.somethingawful.com/privacy.php,permissible,,No scraping-related provisions found.,permissible,permissible,Social & Forums
galottery.com,https://www.galottery.com/en-us/content/termsandconditions.html,permissible,,No ToS content available,permissible,permissible,Government & Nonprofit
flhsmv.gov,https://www12.flhsmv.gov/WebAdmin/faces/common/termsAndConditions.html%3Bjsessionid%3Da711503d4350d05c892ac3ba3f2b%3AdIS2,permissible,,No ToS content available,permissible,permissible,Government & Nonprofit
dcurbanmom.com,,permissible,,No ToS content available,permissible,permissible,Social & Forums
elcomercio.pe,,permissible,,No ToS content available,permissible,permissible,News & Media
psu.edu,https://www.psu.edu/web-privacy-statement,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
tn.gov,https://www.tn.gov/web-policies/privacy-statement.html,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
